A/C,OT,UT,RH_O,NORMAL,UT_O,RH,RH_UT
fishB LR,0,0,0.5,0,0,0,0.5
fishB KR,0.194117647,0.25,0.092647059,0.089705882,0.070588235,0.227941176,0.075
fishB MR,0,0.5,0,0,0,0,0.5
fishB NR,0.166666667,0.285714286,0.047619048,0.023809524,0.095238095,0.261904762,0.119047619
crab HR,0,0.166666667,0.333333333,0,0.166666667,0,0.333333333
crab KR,0.174174174,0.204204204,0.096096096,0.129129129,0.066066066,0.261261261,0.069069069
crab NR,0.193181818,0.291666667,0.075757576,0.060606061,0.060606061,0.238636364,0.079545455
crab LR,0.228915663,0.313253012,0.13253012,0.024096386,0.108433735,0.096385542,0.096385542
crab MR,0.275,0.275,0.025,0.025,0.1,0.2,0.1
prawns HR,0,0.333333333,0,0,0,0.333333333,0.333333333
prawns KR,0.198198198,0.232432432,0.102702703,0.093693694,0.075675676,0.221621622,0.075675676
prawns NR,0.152671756,0.335877863,0.053435115,0.053435115,0.061068702,0.259541985,0.083969466
prawns LR,0.25,0.285714286,0.035714286,0.035714286,0.071428571,0.214285714,0.107142857
prawns MR,0.222222222,0.111111111,0.111111111,0.222222222,0,0.222222222,0.111111111
shark HR,0.222222222,0.277777778,0,0.055555556,0.111111111,0.333333333,0
shark KR,0.123809524,0.152380952,0.076190476,0.361904762,0.028571429,0.2,0.057142857
shark NR,0.218829517,0.267175573,0.111959288,0.03307888,0.063613232,0.226463104,0.078880407
shark LR,0.163934426,0.286885246,0.073770492,0.040983607,0.131147541,0.163934426,0.139344262
shark MR,0.181818182,0.25,0.056818182,0.056818182,0.068181818,0.340909091,0.045454545
avaraikai HR,0.666666667,0,0,0,0.333333333,0,0
avaraikai KR,0.199445983,0.224376731,0.088642659,0.127423823,0.049861496,0.232686981,0.077562327
avaraikai NR,0.187969925,0.266917293,0.093984962,0.04887218,0.082706767,0.244360902,0.07518797
avaraikai LR,0.133333333,0.3,0.083333333,0.05,0.133333333,0.2,0.1
avaraikai MR,0.151515152,0.393939394,0.121212121,0,0.060606061,0.151515152,0.121212121
